List's Code,Word's Code,Spoken,1st Letter,Diacrtics,2nd Letter,Last Letter or Diacritics,1st Letter Code,Diacritics,2nd Letter Code,Last Letter Code or Diacritics,Last Code,Category,Syllable Code,Acronym/English,Acronym/Arabic,Syllable Description (Arabic),Syllable Description (English),Syllable Type,Commonness Score (Max. 5),Difficulty Score (Max. 5),Type of Word,Type of Word Code,Audio Clips' Links
L01,0011,____,_,_,_,_,2,____,4,4, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.64,4.72,___ ___,3.1,L01-0011.mp3
L01,0012,_____,_,_,_,_,23,____,27,14,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.41,2.78,___,2,L01-0012.mp3
L01,0013,_____,_,_,_,_,27,____,28,23,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.68,4.72,___,2,L01-0013.mp3
L01,0014,_____,_,_,_,_,10,____,14,8,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.00,4.72,___,2,L01-0014.mp3
L01,0015,_____,_,_,_,_,6,____,5,24,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.00,3.33,___,2,L01-0015.mp3
L01,0016,____,_,_,_,_,19,____,27,23, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.55,5.00,___,2,L01-0016.mp3
L01,0017,____,_,_,_,_,20,____,1,25, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,2.23,3.61,___,2,L01-0017.mp3
L01,0018,_____,_,_,_,_,14,____,8,18,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,2.73,5.00,___,2,L01-0018.mp3
L01,0019,____,_,_,_,_,21,____,10,10, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,2.33,2.50,___ ___,3.1,L01-0019.mp3
L01,0020,_____,_,_,_,_,28,____,27,24,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.00,5.00,___,2,L01-0020.mp3
L01,0021,_____,_,_,_,_,27,____,26,24,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.00,5.00,___,2,L01-0021.mp3
L01,0022,_____,_,_,_,_,14,____,8,10,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.05,4.72,___,2,L01-0022.mp3
L01,0023,_____,_,_,_,_,6,____,24,23,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.00,4.72,___,2,L01-0023.mp3
L01,0024,_____,_,_,_,_,25,____,21,15,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,2.00,4.44,___,2,L01-0024.mp3
L01,0025,_____,_,_,_,_,21,____,12,24,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.27,4.72,___,2,L01-0025.mp3
L01,0026,____,_,_,_,_,13,____,8,8, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.00,5.00,___,2,L01-0026.mp3
L01,0027,_____,_,_,_,_,11,____,10,21,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.00,5.00,___,2,L01-0027.mp3
L01,0028,_____,_,_,_,_,11,____,28,25,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,2.05,3.61,___,2,L01-0028.mp3
L01,0029,_____,_,_,_,_,13,____,28,2,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.59,4.17,___,2,L01-0029.mp3
L01,0030,____,_,_,_,_,2,____,1,2, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.00,5.00,___,2,L01-0030.mp3
L01,0031,_____,_,_,_,_,6,____,14,10,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.00,3.06,___,2,L01-0031.mp3
L01,0032,____,_,_,_,,21,____,8,, ,2,1,CVC, _ _ _,____ ____ __ ____ _____ ,Long/closed with short vowel,Mono,1.67,5.00,___,1,L01-0032.mp3
L01,0033,_____,_,_,_,_,29,____,12,10,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.59,2.78,___,2,L01-0033.mp3
L01,0034,____,_,_,_,_,18,____,1,20, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,2.55,5.00,___ ___,3.1,L01-0034.mp3
L01,0035,____,_,_,_,_,26,____,1,2, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,2.32,5.00,___ ___,3.1,L01-0035.mp3
L01,0036,____,_,_,_,_,23,____,1,9, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.95,4.17,___ ___,3.1,L01-0036.mp3
L01,0037,____,_,_,_,_,15,____,1,23, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.45,5.00,___,2,L01-0037.mp3
L01,0038,____,_,_,_,_,25,____,1,24, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.00,5.00,___ ___,3.1,L01-0038.mp3
L01,0039,____,_,_,_,_,26,____,1,24, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.41,5.00,___ ___,3.1,L01-0039.mp3
L01,0040,____,_,_,_,_,23,____,1,24, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.32,4.72,___,1,L01-0040.mp3
L01,0041,_____,_,_,_,_,29,____,14,23,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.00,5.00,___,2,L01-0041.mp3
L01,0042,____,_,_,_,_,22,____,1,8, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.55,5.00,___ ___,3.1,L01-0042.mp3
L01,0043,_____,_,_,_,_,18,____,16,10,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.00,3.89,___,2,L01-0043.mp3
L01,0044,____,_,_,_,_,20,____,1,3, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.18,4.44,___ ___,3.1,L01-0044.mp3
L01,0045,____,_,_,_,_,25,____,1,12, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.05,5.00,___,2,L01-0045.mp3
L01,0046,____,_,_,_,_,25,____,1,23, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.41,4.44,___ ___,3.1,L01-0046.mp3
L01,0047,____,_,_,_,_,3,____,28,25, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.23,4.44,___,2,L01-0047.mp3
L01,0048,_____,_,_,_,_,7,____,28,16,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.00,5.00,___,2,L01-0048.mp3
L01,0049,_____,_,_,_,_,3,____,2,25,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.68,5.00,___,2,L01-0049.mp3
L01,0050,____,_,_,_,_,3,____,27,3, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.09,5.00,___,2,L01-0050.mp3
L02,0051,____,_,_,_,_,2,____,10,10, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.27,5.00,___,2,L02-0051.mp3
L02,0052,____,_,_,_,_,22,____,23,23, ,2+,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,2.00,5.00,___,2,L02-0052.mp3
L02,0053,____,_,_,_,,6,____,28,, ,2,1,CVC, _ _ _,____ ____ __ ____ _____ ,Long/closed with short vowel,Mono,1.05,4.17,___,2,L02-0053.mp3
L02,0054,____,_,_,_,,23,____,27,, ,2,1,CVC, _ _ _,____ ____ __ ____ _____ ,Long/closed with short vowel,Mono,1.00,3.06,___,1,L02-0054.mp3
L02,0055,____,_,_,_,_,20,____,22,22, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.18,5.00,___,2,L02-0055.mp3
L02,0056,____,_,_,_,,22,____,25,, ,2,1,CVC, _ _ _,____ ____ __ ____ _____ ,Long/closed with short vowel,Mono,1.27,3.89,___ ___,3.2,L02-0056.mp3
L02,0057,____,_,_,_,_,24,____,23,23, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.64,2.78,___ ___,3.1,L02-0057.mp3
L02,0058,____,_,_,_,,26,____,23,, ,2,1,CVC, _ _ _,____ ____ __ ____ _____ ,Long/closed with short vowel,Mono,1.09,5.00,___,1,L02-0058.mp3
L02,0059,____,_,_,_,_,19,____,23,23, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.14,5.00,___,2,L02-0059.mp3
L02,0060,____,_,_,_,_,15,____,23,23, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.23,4.17,___ ___,3.1,L02-0060.mp3
L02,0061,_____,_,_,_,_,25,____,27,24,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.00,4.17,___,2,L02-0061.mp3
L02,0062,____,_,_,_,_,9,____,1,22, ,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.55,4.17,___,2,L02-0062.mp3
L02,0063,_____,_,_,_,_,4,____,27,10,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.05,3.33,___,2,L02-0063.mp3
L02,0064,_____,_,_,_,_,24,____,3,25,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,2.09,4.44,___,2,L02-0064.mp3
L02,0065,_____,_,_,_,_,25,____,18,28,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.73,4.72,___,2,L02-0065.mp3
L02,0066,____,_,_,_,_,6,____,1,25, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.59,5.00,___ ___,3.1,L02-0066.mp3
L02,0067,_____,_,_,_,_,5,____,25,2,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.18,3.33,___,2,L02-0067.mp3
L02,0068,_____,_,_,_,_,20,____,16,10,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.77,4.44,___,2,L02-0068.mp3
L02,0069,_____,_,_,_,_,17,____,26,10,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.05,5.00,___,2,L02-0069.mp3
L02,0070,_____,_,_,_,_,24,____,26,23,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.91,4.72,___,2,L02-0070.mp3
L02,0071,____,_,_,_,_,3,____,1,24, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.18,5.00,___,2,L02-0071.mp3
L02,0072,_____,_,_,_,_,28,____,12,10,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.23,4.72,___,2,L02-0072.mp3
L02,0073,____,_,_,_,_,16,____,1,20, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.45,5.00,___ ___,3.1,L02-0073.mp3
L02,0074,_____,_,_,_,_,6,____,21,23,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.33,5.00,___,2,L02-0074.mp3
L02,0075,____,_,_,_,_,21,____,1,12, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,2.00,5.00,___ ___,3.1,L02-0075.mp3
L02,0076,____,_,_,_,_,12,____,1,23, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,2.14,4.72,___ ___,3.1,L02-0076.mp3
L02,0077,____,_,_,_,_,11,____,1,8, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.18,5.00,___ ___,3.1,L02-0077.mp3
L02,0078,_____,_,_,_,_,14,____,20,18,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.95,5.00,___,2,L02-0078.mp3
L02,0079,____,_,_,_,_,16,____,1,23, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.41,4.44,___ ___,3.1,L02-0079.mp3
L02,0080,_____,_,_,_,_,21,____,25,14,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,2.23,4.72,___,2,L02-0080.mp3
L02,0081,_____,_,_,_,_,25,____,9,23,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.73,5.00,___,2,L02-0081.mp3
L02,0082,____,_,_,_,_,20,____,1,11, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.00,4.72,___ ___,3.1,L02-0082.mp3
L02,0083,____,_,_,_,_,22,____,27,2, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.23,5.00,___,2,L02-0083.mp3
L02,0084,____,_,_,_,_,13,____,1,24, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.86,4.72,___,2,L02-0084.mp3
L02,0085,_____,_,_,_,_,23,____,27,25,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.00,4.44,___,2,L02-0085.mp3
L02,0086,____,_,_,_,_,18,____,28,25, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.59,5.00,___,2,L02-0086.mp3
L02,0087,____,_,_,_,_,21,____,1,20, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,2.05,5.00,___,1,L02-0087.mp3
L02,0088,_____,_,_,_,_,10,____,2,18,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,2.64,5.00,___,2,L02-0088.mp3
L02,0089,_____,_,_,_,_,13,____,6,9,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,2.67,5.00,___,2,L02-0089.mp3
L02,0090,____,_,_,_,_,27,____,1,8, ,3++,3,CVVC,_ _ _ _,____ ____ __ ____ _____,Long/closed with long vowel,Mono,2.09,4.72,___,2,L02-0090.mp3
L02,0091,____,_,_,_,_,3,____,1,2, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.05,4.72,___ ___,3.1,L02-0091.mp3
L02,0092,____,_,_,_,_,24,____,1,23, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.05,4.72,___ ___,3.1,L02-0092.mp3
L02,0093,____,_,_,_,_,27,____,1,21, ,3++,3,CVVC,_ _ _ _,____ ____ __ ____ _____,Long/closed with long vowel,Mono,2.05,5.00,___,2,L02-0093.mp3
L02,0094,____,_,_,_,_,24,____,28,24, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.68,5.00,___,1,L02-0094.mp3
L02,0095,_____,_,_,_,_,2,____,3,10,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.36,4.17,___,2,L02-0095.mp3
L02,0096,_____,_,_,_,_,7,____,16,2,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,2.00,5.00,___,2,L02-0096.mp3
L02,0097,____,_,_,_,_,12,____,28,25, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.55,4.72,___,1,L02-0097.mp3
L02,0098,_____,_,_,_,_,25,____,26,13,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.77,4.44,___,2,L02-0098.mp3
L02,0099,____,_,_,_,_,8,____,1,24, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.27,5.00,___ ___,3.1,L02-0099.mp3
L02,0100,_____,_,_,_,_,25,____,24,23,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.09,5.00,___,2,L02-0100.mp3
L03,0101,____,_,_,_,_,22,____,10,10, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,2.32,3.25,___ ___,3.1,L03-0101.mp3
L03,0102,____,_,_,_,_,24,____,7,7, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.05,5.00,___,2,L03-0102.mp3
L03,0103,____,_,_,_,_,3,____,24,24, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.05,5.00,___ ___,3.1,L03-0103.mp3
L03,0104,____,_,_,_,_,26,____,24,24, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.36,5.00,___ ___,3.1,L03-0104.mp3
L03,0105,____,_,_,_,_,21,____,16,16, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.41,4.50,___,2,L03-0105.mp3
L03,0106,____,_,_,_,_,5,____,25,25, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.18,4.50,___,2,L03-0106.mp3
L03,0107,____,_,_,_,_,6,____,4,4, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.95,4.50,___ ___,3.1,L03-0107.mp3
L03,0108,____,_,_,_,,23,____,24,, ,2,1,CVC, _ _ _,____ ____ __ ____ _____ ,Long/closed with short vowel,Mono,1.14,4.75,___,1,L03-0108.mp3
L03,0109,____,_,_,_,_,15,____,24,24, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.41,5.00,___ ___,3.1,L03-0109.mp3
L03,0110,____,_,_,_,_,9,____,23,23, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.05,4.75,___,2,L03-0110.mp3
L03,0111,_____,_,_,_,_,3,____,28,12,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.82,4.50,___,2,L03-0111.mp3
L03,0112,_____,_,_,_,_,9,____,28,23,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.23,4.75,___,2,L03-0112.mp3
L03,0113,_____,_,_,_,_,12,____,10,8,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,2.33,4.25,___,2,L03-0113.mp3
L03,0114,_____,_,_,_,_,27,____,3,10,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.73,4.25,___,2,L03-0114.mp3
L03,0115,_____,_,_,_,_,12,____,7,16,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.33,4.50,___,2,L03-0115.mp3
L03,0116,____,_,_,_,_,20,____,27,23, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.00,5.00,___,2,L03-0116.mp3
L03,0117,____,_,_,_,_,2,____,1,23, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.27,4.50,___ ___,3.1,L03-0117.mp3
L03,0118,____,_,_,_,_,5,____,1,23, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,2.32,4.75,___ ___,3.1,L03-0118.mp3
L03,0119,____,_,_,_,_,6,____,1,22, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,2.23,4.75,___ ___,3.1,L03-0119.mp3
L03,0120,____,_,_,_,_,7,____,1,25, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.32,2.75,___ ___,3.1,L03-0120.mp3
L03,0121,____,_,_,_,_,14,____,1,23, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,2.41,5.00,___ ___,3.1,L03-0121.mp3
L03,0122,____,_,_,_,_,8,____,1,23, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.91,5.00,___,1,L03-0122.mp3
L03,0123,____,_,_,_,_,24,____,1,32, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.00,5.00,___,2,L03-0123.mp3
L03,0124,____,_,_,_,_,11,____,1,28, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,2.59,2.25,___,1,L03-0124.mp3
L03,0125,____,_,_,_,_,18,____,1,13, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.00,5.00,___ ___,3.1,L03-0125.mp3
L03,0126,____,_,_,_,_,24,____,1,3, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.00,4.75,___ ___,3.1,L03-0126.mp3
L03,0127,____,_,_,_,_,19,____,1,10, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.45,4.25,___,2,L03-0127.mp3
L03,0128,_____,_,_,_,_,27,____,18,23,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,2.45,5.00,___,2,L03-0128.mp3
L03,0129,_____,_,_,_,_,3,____,12,18,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.59,4.75,___,2,L03-0129.mp3
L03,0130,____,_,_,_,_,8,____,1,25, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,2.73,1.25,___ ___,3.1,L03-0130.mp3
L03,0131,_____,_,_,_,_,12,____,26,23,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.00,4.75,___,2,L03-0131.mp3
L03,0132,_____,_,_,_,_,12,____,16,27,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.14,3.75,___,2,L03-0132.mp3
L03,0133,_____,_,_,_,_,25,____,26,23,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,2.36,5.00,___,2,L03-0133.mp3
L03,0134,_____,_,_,_,_,20,____,26,24,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.09,5.00,___,2,L03-0134.mp3
L03,0135,_____,_,_,_,_,26,____,27,23,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.64,4.75,___,2,L03-0135.mp3
L03,0136,____,_,_,_,_,20,____,1,32, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,2.00,4.75,___ ___,3.1,L03-0136.mp3
L03,0137,____,_,_,_,_,21,____,1,24, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.00,4.00,___ ___,3.1,L03-0137.mp3
L03,0138,____,_,_,_,_,14,____,1,24, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.00,4.75,___ ___,3.1,L03-0138.mp3
L03,0139,____,_,_,_,_,26,____,1,25, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.32,1.75,___ ___,3.1,L03-0139.mp3
L03,0140,____,_,_,_,_,2,____,1,25, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.23,3.00,___ ___,3.1,L03-0140.mp3
L03,0141,_____,_,_,_,_,13,____,20,18,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.36,4.75,___,2,L03-0141.mp3
L03,0142,_____,_,_,_,_,25,____,21,23,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.14,5.00,___,2,L03-0142.mp3
L03,0143,_____,_,_,_,_,27,____,26,25,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.86,1.25,___,2,L03-0143.mp3
L03,0144,_____,_,_,_,_,10,____,18,35,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.95,4.75,___,2,L03-0144.mp3
L03,0145,_____,_,_,_,_,12,____,27,16,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,2.00,1.00,___,2,L03-0145.mp3
L03,0146,____,_,_,_,_,8,____,28,25, ,3+,3,CVVC,_ _ _ _ ,____ ____ __ ____ _____,Long/closed with long vowel,Mono,1.05,4.00,___,2,L03-0146.mp3
L03,0147,_____,_,_,_,_,21,____,10,14,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.00,4.50,___,2,L03-0147.mp3
L03,0148,_____,_,_,_,_,10,____,28,2,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.82,3.75,___,2,L03-0148.mp3
L03,0149,_____,_,_,_,_,29,____,22,23,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,0.95,5.00,___,2,L03-0149.mp3
L03,0150,_____,_,_,_,_,2,____,26,27,,3,2,CVCC,_ _ _ _,____ __ _____,Too long,Mono,1.41,5.00,___,2,L03-0150.mp3
L04,0151,____,_,_,_,_,6,____,23,23, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.14,5.00,___ ___,3.1,L04-0151.mp3
L04,0152,____,_,_,_,,12,____,23,, ,2,1,CVC, _ _ _,____ ____ __ ____ _____ ,Long/closed with short vowel,Mono,2.05,4.50,___ ___,3.2,L04-0152.mp3
L04,0153,____,_,_,_,,24,____,25,, ,2,1,CVC, _ _ _,____ ____ __ ____ _____ ,Long/closed with short vowel,Mono,1.09,4.25,___,1,L04-0153.mp3
L04,0154,____,_,_,_,_,9,____,24,24, ,2+,2,CVCC, _ _ _ _,____ __ _____,Too long,Mono,1.45,3.25,___,2,L04-0154.mp3
